分群,小時,平均可借變化30比例,平均活動強度30,平均可借比例
均衡流動型,0,0.009505140977376543,0.027238717366861495,0.3127975823102388
均衡流動型,1,0.007058165929907658,0.01765653711175535,0.3276838925857068
均衡流動型,2,0.0023280534910075637,0.007712709651125502,0.3345573087569548
均衡流動型,3,0.0008034631150621907,0.005642270824052775,0.3368567097880151
均衡流動型,4,0.0005115036309995809,0.0060055406625951204,0.3376865856358322
均衡流動型,5,0.0009850036273726201,0.011745448897392945,0.3393437604105792
均衡流動型,6,-0.0014730433395289619,0.030445520442683515,0.3389121920012557
均衡流動型,7,-0.01189372343663239,0.07151982502811213,0.3201994842920036
均衡流動型,8,-0.01815782658212733,0.07257076936414711,0.28588484964548516
均衡流動型,9,-0.006926059144159109,0.05034008122621382,0.26534057117526194
均衡流動型,10,-0.002776013096426401,0.03872075262009144,0.25923301139375926
均衡流動型,11,-0.0012139805278758241,0.03513576314561519,0.25713009818049004
均衡流動型,12,-0.003931508731763353,0.031765545444664554,0.25123229052280327
均衡流動型,13,0.00046109443646894936,0.031208416644049334,0.2493276684832907
均衡流動型,14,0.0017389387492795806,0.028105316954061182,0.25282406769218446
均衡流動型,15,0.0006666702048005799,0.02672729006728505,0.25508259591713284
均衡流動型,16,-0.007748024787416289,0.05075973757199584,0.2463736186992578
均衡流動型,17,0.0014646960468359892,0.05216926745745151,0.24256378614115637
均衡流動型,18,0.0040554105342398075,0.05726642942463668,0.25098253227727746
均衡流動型,19,0.004337892147076416,0.05832370358846764,0.261964668392116
均衡流動型,20,0.002566069433330407,0.05078146682460629,0.2675426714401151
均衡流動型,21,-0.0006643823154697767,0.04407495111734135,0.26498455467431836
均衡流動型,22,0.0018459547023043999,0.04191572936486435,0.26623327291461657
均衡流動型,23,0.012610882726936895,0.0376777242267233,0.28576418666324266
平穩低波動型,0,0.005223394006293544,0.01711410074634536,0.4174429946460767
平穩低波動型,1,0.0035879426405219035,0.012595833220035695,0.42534871253438583
平穩低波動型,2,0.0015780526283423865,0.005912572843701228,0.429246996506023
平穩低波動型,3,0.0008486905315114868,0.004298905583372744,0.431279896722365
平穩低波動型,4,0.0008462444641245053,0.005518365658552961,0.4328558387020095
平穩低波動型,5,0.0006603470524042167,0.010950814651417364,0.43384009414550895
平穩低波動型,6,-0.0032074244965981918,0.02193228884486979,0.43071686998201864
平穩低波動型,7,-0.01108241919460365,0.04401723988585394,0.41150799840556734
平穩低波動型,8,-0.0011796082414004293,0.04904409399786024,0.403558611732529
平穩低波動型,9,-0.0012879197056650583,0.0337595593941158,0.40128820843981994
平穩低波動型,10,-0.0026162398785736,0.026535662915215797,0.39634981361556937
平穩低波動型,11,-0.002323794919789372,0.024775617513155504,0.39192356838124365
平穩低波動型,12,-0.004478545994458669,0.02276784649391291,0.3842606619329945
平穩低波動型,13,-0.00034341491924408873,0.02379275926682411,0.38125637715487315
平穩低波動型,14,-0.001464913184814911,0.022757681611695783,0.3789006915472424
平穩低波動型,15,-0.0013041310473142758,0.023691783928803764,0.37659221227735606
平穩低波動型,16,-0.0009896446612391026,0.03628746975343918,0.3747638215639286
平穩低波動型,17,0.0014284830455280843,0.04612067896038447,0.37980478009778257
平穩低波動型,18,-0.0036045525498895497,0.04900600754458276,0.3748208962638167
平穩低波動型,19,-0.0006644034973264929,0.047374537806023784,0.3711489807555177
平穩低波動型,20,0.0016628800851531851,0.03706405043890066,0.37410675528174336
平穩低波動型,21,0.003274262514444182,0.03353908732173316,0.3796396666314227
平穩低波動型,22,0.005941033460283993,0.03049830416087473,0.3914840536066301
平穩低波動型,23,0.005969654257838572,0.024782035421645393,0.4027181896023668
火車站周邊－通勤到達型－高滿車風險,0,0.0007160885132358983,0.0007395668251452721,0.006541906589891237
火車站周邊－通勤到達型－高滿車風險,1,0.0005436562520468987,0.0007008580598676886,0.007616458799701527
火車站周邊－通勤到達型－高滿車風險,2,0.00023062211722353466,0.0003431207109911126,0.008101481718366913
火車站周邊－通勤到達型－高滿車風險,3,0.00011037527593818985,0.00011037527593818985,0.008224069928579044
火車站周邊－通勤到達型－高滿車風險,4,5.3299221831361256e-05,0.00010659844366272251,0.008378637671889995
火車站周邊－通勤到達型－高滿車風險,5,7.994883274704191e-05,0.00030380556443875933,0.008607824325764846
