城市,行政區,場站名稱,分群
新北市,三峽區,三峽中山公園,平穩低波動型
新北市,三峽區,三峽區公所(三峽老街),平穩低波動型
新北市,三峽區,三峽區礁溪行政中心,平穩低波動型
新北市,三峽區,三峽原住民族生活文化園區,平穩低波動型
新北市,三峽區,三峽國中,均衡流動型
新北市,三峽區,三峽國光青年社會住宅,平穩低波動型
新北市,三峽區,三峽國小(中山路),平穩低波動型
新北市,三峽區,三樹大學路口,均衡流動型
新北市,三峽區,三樹大德路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,三鶯國民運動中心,平穩低波動型
新北市,三峽區,三鶯國民運動中心停車場,平穩低波動型
新北市,三峽區,中園國小,平穩低波動型
新北市,三峽區,中園國小(民權街),平穩低波動型
新北市,三峽區,中園街福隆宮,平穩低波動型
新北市,三峽區,中山科學研究院,平穩低波動型
新北市,三峽區,中華愛國路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,介壽國小,平穩低波動型
新北市,三峽區,光明停車場,平穩低波動型
新北市,三峽區,光明路69巷口,平穩低波動型
新北市,三峽區,八安大橋(清水街),平穩低波動型
新北市,三峽區,北大高中,平穩低波動型
新北市,三峽區,國光街330巷口,平穩低波動型
新北市,三峽區,國慶三樹路口,均衡流動型
新北市,三峽區,國慶學成路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,國立臺北大學(三峽校區),均衡流動型
新北市,三峽區,國際二國學街口,醫院周邊－雙尖峰高流動型
新北市,三峽區,大同路270巷口,平穩低波動型
新北市,三峽區,大學學成路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,大德學勤路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,大智中山路口,平穩低波動型
新北市,三峽區,大義三樹路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,學勤大觀路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,學府大學路口,平穩低波動型
新北市,三峽區,學府大德路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,學成大德路口,醫院周邊－雙尖峰高流動型
新北市,三峽區,學成大義路口(學成路一),醫院周邊－雙尖峰高流動型
新北市,三峽區,安溪國中,平穩低波動型
新北市,三峽區,安溪國小,平穩低波動型
新北市,三峽區,復興民生街口,均衡流動型
新北市,三峽區,恩主公醫院,均衡流動型
新北市,三峽區,新北市客家文化園區,平穩低波動型
新北市,三峽區,明德高中,均衡流動型
新北市,三峽區,民族街78巷口,平穩低波動型
新北市,三峽區,海洋公園,醫院周邊－雙尖峰高流動型
新北市,三峽區,添福里(添福15號之33),平穩低波動型
新北市,三峽區,溪東市民活動中心,平穩低波動型
新北市,三峽區,臺北大學(音律資訊大樓),均衡流動型
新北市,三峽區,臺北大學公共事務大樓(公政大道),平穩低波動型
