日期,城市,行政區,場站名稱,總車柱數,可借車數,可還位數,經度,緯度
2026-05-29 23:30:34,新北市,三峽區,長泰街40巷口,17,7,7,121.37811,24.93234
2026-05-29 23:30:34,新北市,土城區,雲溪廣場(青雲路183巷),15,5,8,121.45961,24.98270
2026-05-29 23:30:34,新北市,板橋區,望月公園,32,24,8,121.45787,25.02997
2026-05-29 23:30:34,新北市,泰山區,和平楓樹街口(和平公園),15,6,8,121.43507,25.06456
2026-05-29 23:30:34,新北市,淡水區,淡江大橋橋管中心,40,7,30,121.42002,25.17964
2026-05-29 23:30:34,新北市,土城區,捷運媽祖田站,35,13,13,121.41185,24.95381
2026-05-29 23:30:34,新北市,中和區,安和安樂路口,15,12,3,121.51196,24.99344
2026-05-29 23:30:34,新北市,中和區,圓通路369巷口,18,14,4,121.48737,24.98852
2026-05-29 23:30:34,新北市,中和區,中和慈惠堂,15,5,9,121.47964,24.98153
2026-05-29 23:30:34,新北市,淡水區,濱海路一段370號,22,2,20,121.43942,25.18962
2026-05-29 23:30:34,新北市,淡水區,淡水轉運站,50,17,32,121.42153,25.17915
2026-05-29 23:30:34,新北市,樹林區,臺鐵樹林車站(後站停車場),64,2,62,121.42384,24.99089
2026-05-29 23:30:34,新北市,土城區,新洲擺接堡路口,28,5,23,121.43742,24.97781
2026-05-29 23:30:34,新北市,五股區,成州派出所,49,17,32,121.44785,25.09155
2026-05-29 23:30:34,新北市,板橋區,板橋戶政事務所海山辦事處,50,0,50,121.47038,25.01182
2026-05-29 23:30:34,新北市,板橋區,中華電信板橋雲端資料中心,45,2,43,121.45825,24.99530
2026-05-29 23:30:34,新北市,八里區,龍米路二段205巷口,22,12,10,121.43231,25.15850
2026-05-29 23:30:34,新北市,三重區,新北大道二段139巷,11,2,9,121.46662,25.05981
2026-05-29 23:30:34,新北市,三重區,長榮龍濱路口,19,9,9,121.50238,25.06908
2026-05-29 23:30:34,新北市,林口區,林口廣停一停車場,18,2,16,121.37220,25.07534
2026-05-29 23:30:34,新北市,林口區,民族忠孝路口,14,8,6,121.36496,25.07484
2026-05-29 23:30:34,新北市,板橋區,華中公園,15,11,4,121.44676,25.01890
2026-05-29 23:30:34,新北市,樹林區,鎮前街347巷口,16,14,2,121.41638,24.98419
2026-05-29 23:30:34,新北市,三重區,水漾成功一街口,32,17,15,121.48557,25.05004
2026-05-29 23:30:34,新北市,中和區,連城路469巷21弄,12,5,5,121.48432,24.99508
2026-05-29 23:30:34,新北市,坪林區,國中碇坪路二段口,19,0,0,121.71259,24.93666
2026-05-29 23:30:34,新北市,板橋區,中山路二段295巷口,20,9,11,121.47835,25.01851
2026-05-29 23:30:34,新北市,板橋區,港德攤集區(中正路236巷),20,3,8,121.45970,25.01975
2026-05-29 23:30:34,新北市,新莊區,思源路593巷口,16,1,15,121.45962,25.05954
2026-05-29 23:30:34,新北市,鶯歌區,鳳三龍七路口,18,0,18,121.33467,24.97204
2026-05-29 23:30:34,新北市,五股區,五股環保藝術公園(芳洲路),18,7,10,121.44308,25.08425
2026-05-29 23:30:34,新北市,淡水區,新市二路三段36巷口,22,16,6,121.43302,25.19301
2026-05-29 23:30:34,新北市,新店區,央北二月記街口,22,10,12,121.53008,24.97763
2026-05-29 23:30:34,新北市,新莊區,新樹路258巷口,19,11,8,121.43269,25.01525
2026-05-29 23:30:34,新北市,蘆洲區,長興光華路186巷口,13,8,5,121.46429,25.08285
2026-05-29 23:30:34,新北市,八里區,中山賢一街口,17,0,17,121.42144,25.15916
2026-05-29 23:30:34,新北市,八里區,商港一十三行路口,30,1,29,121.40558,25.15483
2026-05-29 23:30:34,新北市,三重區,仁愛街458巷口,20,7,10,121.49015,25.08211
2026-05-29 23:30:34,新北市,三重區,重新橋第1市民活動中心,15,10,4,121.48563,25.05355
2026-05-29 23:30:34,新北市,三重區,集賢三信路口(南側),17,4,12,121.49187,25.08861
2026-05-29 23:30:34,新北市,汐止區,下街福德宮,19,5,14,121.65555,25.06807
2026-05-29 23:30:34,新北市,八里區,八里左岸自行車道(4.4K福德宮),15,2,11,121.44789,25.14315
2026-05-29 23:30:34,新北市,土城區,頂新公園,21,7,11,121.41425,24.95397
2026-05-29 23:30:34,新北市,中和區,中興公園,17,8,9,121.50061,24.98805
2026-05-29 23:30:34,新北市,林口區,文化一麗園路2巷口,18,8,10,121.37494,25.07222
2026-05-29 23:30:34,新北市,林口區,文化三路一段203號前,27,1,26,121.36246,25.07039
2026-05-29 23:30:34,新北市,板橋區,仁愛路62巷(14&24弄口),29,17,12,121.45998,24.99821
2026-05-29 23:30:34,新北市,板橋區,大觀路二段1巷,24,13,10,121.44863,25.00382
2026-05-29 23:30:34,新北市,板橋區,縣民板城路口,40,4,36,121.45325,25.00392
2026-05-29 23:30:34,新北市,新莊區,五權一五工三路口,20,8,12,121.45797,25.06593
2026-05-29 23:30:34,新北市,鶯歌區,中湖市民活動中心,20,12,7,121.34721,24.97285
2026-05-29 23:30:34,新北市,鶯歌區,鳳一鳳吉一街口,20,9,11,121.33170,24.97677
2026-05-29 23:30:34,新北市,鶯歌區,鳳五路122號前,18,12,3,121.32991,24.97316
2026-05-29 23:30:34,新北市,三重區,仁愛仁政街145巷口,18,9,9,121.49219,25.07949
2026-05-29 23:30:34,新北市,林口區,忠孝公園路口,16,3,13,121.36982,25.07120
