城市,行政區,場站名稱,經度,緯度,OSM是否捷運站,OSM是否火車站,OSM是否公車站,OSM是否學校,OSM是否公園,OSM是否商圈,OSM是否醫院,場站,場站分類來源,場站分類狀態,分類版本
新北市,三峽區,三峽中山公園,121.36584,24.93561,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,三峽區公所(三峽老街),121.36929,24.9339,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,三峽區礁溪行政中心,121.37592,24.92843,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,三峽原住民族生活文化園區,121.36672,24.94565,False,False,False,True,True,False,False,"學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,三峽國中,121.369,24.9389,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,三峽國光青年社會住宅,121.37686,24.93743,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,三峽國小(中山路),121.36779,24.93474,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,三樹大學路口,121.37816,24.93951,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,三樹大德路口,121.37871,24.94163,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,三鶯國民運動中心,121.36858,24.93697,True,False,True,True,True,True,False,"捷運站,公車站,學校,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,三鶯國民運動中心停車場,121.36941,24.93614,False,False,True,True,True,True,False,"公車站,學校,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,中園國小,121.3667403505291,24.927562225588048,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,中園國小(民權街),121.36767,24.92853,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,中園街福隆宮,121.36717,24.92239,False,False,True,False,True,True,False,"公車站,公園,商圈",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,中山科學研究院,121.35512,24.90328,False,False,True,False,False,False,False,公車站,OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,中華愛國路口,121.37462,24.9327,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,介壽國小,121.37912,24.93026,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,光明停車場,121.3741,24.93036,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,光明路69巷口,121.37726,24.92918,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,八安大橋(清水街),121.36891,24.92701,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,北大高中,121.37505,24.9492,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,國光街330巷口,121.37212,24.93942,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,國慶三樹路口,121.37738,24.93826,True,False,True,True,True,False,False,"捷運站,公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,國慶學成路口,121.37397,24.94095,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,國立臺北大學(三峽校區),121.3729,24.94594,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,國際二國學街口,121.37233,24.94319,False,False,True,True,True,False,False,"公車站,學校,公園",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,大同路270巷口,121.36551,24.92526,False,False,True,True,False,False,False,"公車站,學校",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,大學學成路口,121.37521,24.94298,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,大德學勤路口,121.37506,24.94634,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,大智中山路口,121.36059,24.93708,False,False,True,True,False,False,True,"公車站,學校,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,大義三樹路口,121.37899,24.94357,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,學勤大觀路口,121.3743,24.94584,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,學府大學路口,121.3718,24.94779,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺＋場站名稱,已分類,本機OSM_300公尺_v1
新北市,三峽區,學府大德路口,121.37362,24.94864,False,False,True,True,True,False,True,"公車站,學校,公園,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,學成大德路口,121.37634,24.94334,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
新北市,三峽區,學成大義路口(學成路一),121.37803,24.94477,False,False,True,True,True,True,True,"公車站,學校,公園,商圈,醫院",OpenStreetMap300公尺,已分類,本機OSM_300公尺_v1
